Airline,Airline ID,Source airport,Source airport ID,Destination airport,Destination airport ID,Codeshare,Stops,Equipment,Source_Airport,Source_City,Source_Latitude,Source_Longitude,Source_Altitude,Destination_Airport,Destination_City,Destination_Latitude,Destination_Longitude,Destination_Altitude,Source_geometry,Destination_geometry,distance,Source_Popution,Destination_Popution
DL,2009,HNL,3728,SLC,3536,,0,763,Daniel K Inouye International Airport,Honolulu,21.32062,-157.924228,13,Salt Lake City International Airport,Salt Lake City,40.78839874,-111.9779968,4227,"(21.32062, -157.924228)","(40.78839874267578, -111.97799682617188)",4818.066557,,"1,232,696"
DL,2009,HOU,3566,ATL,3682,,0,M88,William P Hobby Airport,Houston,29.64539909,-95.27890015,46,Hartsfield Jackson Atlanta International Airport,Atlanta,33.6367,-84.428101,1026,"(29.64539909, -95.27890015)","(33.6367, -84.428101)",1119.609986,"7,066,141","6,020,364"
DL,2009,HPN,3589,ATL,3682,Y,0,CR7 CR9,Westchester County Airport,White Plains,41.06700134,-73.70760345,439,Hartsfield Jackson Atlanta International Airport,Atlanta,33.6367,-84.428101,1026,"(41.06700134277344, -73.70760345458984)","(33.6367, -84.428101)",1256.096992,,"6,020,364"
DL,2009,HPN,3589,DTW,3645,Y,0,CRJ,Westchester County Airport,White Plains,41.06700134,-73.70760345,439,Detroit Metropolitan Wayne County Airport,Detroit,42.21239853,-83.35340118,645,"(41.06700134277344, -73.70760345458984)","(42.212398529052734, -83.35340118408203)",813.2013668,,"4,319,629"
DL,2009,HPN,3589,MCO,3878,Y,0,CR7,Westchester County Airport,White Plains,41.06700134,-73.70760345,439,Orlando International Airport,Orlando,28.42939949,-81.30899811,96,"(41.06700134277344, -73.70760345458984)","(28.429399490356445, -81.30899810791016)",1563.643284,,"2,608,147"
DL,2009,HSV,4113,ATL,3682,,0,M88 717,Huntsville International Carl T Jones Field,Huntsville,34.6371994,-86.77510071,629,Hartsfield Jackson Atlanta International Airport,Atlanta,33.6367,-84.428101,1026,"(34.637199401855, -86.775100708008)","(33.6367, -84.428101)",243.2584121,"471,824","6,020,364"
DL,2009,HSV,4113,DTW,3645,Y,0,CRJ,Huntsville International Carl T Jones Field,Huntsville,34.6371994,-86.77510071,629,Detroit Metropolitan Wayne County Airport,Detroit,42.21239853,-83.35340118,645,"(34.637199401855, -86.775100708008)","(42.212398529052734, -83.35340118408203)",892.1759019,"471,824","4,319,629"
DL,2009,IAD,3714,ATL,3682,,0,320 M88 319,Washington Dulles International Airport,Washington,38.94449997,-77.45580292,312,Hartsfield Jackson Atlanta International Airport,Atlanta,33.6367,-84.428101,1026,"(38.94449997, -77.45580292)","(33.6367, -84.428101)",859.2343873,"6,280,487","6,020,364"
DL,2009,IAD,3714,DTW,3645,,0,CR7 ERJ,Washington Dulles International Airport,Washington,38.94449997,-77.45580292,312,Detroit Metropolitan Wayne County Airport,Detroit,42.21239853,-83.35340118,645,"(38.94449997, -77.45580292)","(42.212398529052734, -83.35340118408203)",617.0255483,"6,280,487","4,319,629"
DL,2009,IAD,3714,JFK,3797,Y,0,ERJ CR7,Washington Dulles International Airport,Washington,38.94449997,-77.45580292,312,John F Kennedy International Airport,New York,40.63980103,-73.77890015,13,"(38.94449997, -77.45580292)","(40.63980103, -73.77890015)",366.84922,"6,280,487","19,216,182"
DL,2009,IAD,3714,MSP,3858,Y,0,CR9 CR7,Washington Dulles International Airport,Washington,38.94449997,-77.45580292,312,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,44.882,-93.221802,841,"(38.94449997, -77.45580292)","(44.882, -93.221802)",1461.406067,"6,280,487","3,654,908"
